name,lat,lng,icon,color,url,comment
レストラン ホイリゲ,33.322253195922876, 130.69654333438493,レストラン,red,https://maps.app.goo.gl/vgnhFe7GnmWMGTYF7,""
Restaurant Spoon,33.326417952551054, 130.7005556364502,レストラン,red,https://maps.app.goo.gl/aX7zWUaEG6K9fUyw9,""
カフェ・レストラン FLEUR（フルール）,33.32455490594513, 130.69272704885367,レストラン,red,https://maps.app.goo.gl/BBNx4JmRDsMpWhdX8,""
グリーンヒル,33.32021522081815, 130.6778761276325,レストラン,red,https://maps.app.goo.gl/d1UkYjQpBwqb8y8s8,""
あいはなカフェ,33.3194815180578, 130.67423551207426,レストラン,red,https://maps.app.goo.gl/EaGKFvqcNgGCMkww8,""
Chez Sagara,33.3348247004846, 130.69052189118233,パン屋,blue,https://maps.app.goo.gl/Ya4UfmKWkfYLeQbq8,""
BAR Believe（バー・ビリーヴ,33.31719327831763, 130.5179931563545,バー,blue,https://maps.app.goo.gl/94VYqomH6veKdv4T8,""
イナトミ舶来居酒屋,33.31468291001072, 130.5131008072853,バー,blue,https://maps.app.goo.gl/m88hZwb9m6SjrZDK8,""
ペーパームーン,33.31268340000234, 130.51999710923684,バー,blue,https://maps.app.goo.gl/8UhTL1Xh14isYMjv9,""
One Shot,33.31239648958375, 130.52034043197855,バー,blue,https://maps.app.goo.gl/tuugiGxZaaf1To888,""
リトルモンキー,33.31203785023273, 130.52439593186486,バー,blue,https://maps.app.goo.gl/YwFFTb6zyAYYhijr6,""
ワインバー オルトレポ,33.312378557651236, 130.51712178127514,バー,blue,https://maps.app.goo.gl/aJnQLVtY7GMmH6819,""
The Highball stand 久留米店,33.310758618267045, 130.5201558589645,バー,blue,https://maps.app.goo.gl/SZ2oyR3tDd6dG3f37,""
カフェドアール,33.33841308722989, 130.5202178581024,喫茶店,blue,https://maps.app.goo.gl/PCmM4F59kaPgCddSA,""
バー ジャム 久留米,33.31285343515639, 130.51334590612092,バー,blue,https://maps.app.goo.gl/C9i6g6E7NpFRMRMC9,""
焼鳥 ダルム屋,33.31286912551208, 130.51387430127807,焼き鳥,blue,https://maps.app.goo.gl/zA17aDpECSSD6Nu26,""
ぎょうざ 娘娘,33.3129526793742, 130.5142150911529,餃子,blue,https://maps.app.goo.gl/ZzeRXW1c9CJ6EFku9,""
酒と肉料理 六ツ門日和,33.31290132968517, 130.5141395423778,居酒屋,blue,https://maps.app.goo.gl/RxeQY3ZmjuAZmg9c8,""
天婦羅 うた川,33.31282556779365, 130.51432488870603,天ぷら,blue,https://maps.app.goo.gl/FRfNNiLBRdNEtBMP9,""
トラノコカフェ,33.31289977145929, 130.51436393474316,喫茶店,blue,https://maps.app.goo.gl/mfbF4tdirXKiRjpLA,""
炭焼き 結火,33.31286411162835, 130.51430241433897,焼き鳥,blue,https://maps.app.goo.gl/uW28dLvnMbCWrxjq8,""
スモーキールースト,33.31287416459722, 130.51417467731216,バー,blue,https://maps.app.goo.gl/twAUYUNgLAEHf2mj6,""
エイト・モダン,33.31298343663253, 130.51405867177638,JAZZ喫茶,red,https://maps.app.goo.gl/gk3y9HPpphGfbW8t6,""
フラワーショップアカシ,33.312990721431966, 130.514399312312,花屋,red,https://maps.app.goo.gl/Kzs1hNiUM9oCxQENA,""
バー ジンガ45,33.3130964591096, 130.51418210461148,バー,blue,https://maps.app.goo.gl/LT57xDGpMGzPkVdC7,""
鐵板酒場晴カス,33.31319620461603, 130.51410163834393,お好み焼き,blue,https://maps.app.goo.gl/dgR5DN9Wuzt6noaNA,""
ウキヨショウテン,33.313231432678144, 130.51470882687926,喫茶店,blue,https://maps.app.goo.gl/w5Xa4rGEPXPBYK4z6,""
ひとくち餃子 てん屋,33.31365058654043, 130.51486506555753,餃子,blue,https://maps.app.goo.gl/KXMe4oGesHw52VZk8,""
夜中まで頑張ります！たこやきジャンボ,33.31327583127296, 130.51358123785192,たこ焼き,blue,https://maps.app.goo.gl/tjqnhEj32G1gVZN57,""
重永鮮魚本店,33.31310043616876, 130.5134927249576,魚料理,blue,https://maps.app.goo.gl/tjqnhEj32G1gVZN57,""
のん兵衛亭,33.31332738503611, 130.5134565151336,レストラン,blue,https://maps.app.goo.gl/rAn9byMtmV2uR8UP9,""
MOKUS,33.31297218967557, 130.51257999255444,ワインバー,blue,https://maps.app.goo.gl/PDs22D7gUjjERmfK6,""
PORTA ROSSA,33.31306392628056, 130.51232252025292,イタリアン,blue,https://maps.app.goo.gl/Jpf2GiBPRDTnmc3o8,""
ラーメン 潘陽軒本店 (ばんようけん) 創業1948年,33.31308746175619, 130.51229368650704,ラーメン,blue,https://maps.app.goo.gl/ZtUrczTn7apVhe989,""
しのはら珈琲店,33.31285590366531, 130.51218670024176,喫茶店,blue,https://maps.app.goo.gl/iRvBUUr1vDxhLD7A6,""
キッチンハウス青沼,33.31284418573476, 130.51149497056574,洋食店,blue,https://maps.app.goo.gl/2dcwYBoCsA73zNj57,""
